"Name" -> "Fire___Rescue_Incidents_by_Day_and_Type"
"ResourceType" -> "DataResource"
"Title" -> "Fire & Rescue Incidents in Urbana"
"Description" -> "Records of fire & rescue alarm incidents by day and type in Urbana IL from 2012 to 2014"
"Publisher" -> "City of Urbana"
"Source" -> "https://data.urbanaillinois.us/Fire-and-Rescue/Fire-Rescue-Incidents-by-Day-and-Type/kcfr-xfr4/data"
"Date" -> "2012-2014"
"Keywords" -> "Text, Fire, Rescue, Emergency, Alarm, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Urbana, Illinois"
Alarm Date,Alarm Time,Incident Type,Incident Type Description,Count
04/05/2012,12:02:48,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,21:35:10,7,False Alarm or False Call,1
04/11/2012,3:39:14,7,False Alarm or False Call,1
04/14/2012,0:45:29,6,Good Intent Call,1
04/13/2012,17:20:08,1,Fire,1
04/17/2012,4:12:03,1,Fire,1
04/23/2012,15:51:47,3,Rescue or Emergency Medical Services Incident,1
04/23/2012,16:57:37,7,False Alarm or False Call,1
04/23/2012,18:37:47,3,Rescue or Emergency Medical Services Incident,1
04/23/2012,13:01:00,4,Hazardous Condition (no fire),1
04/24/2012,8:23:07,7,False Alarm or False Call,1
04/27/2012,9:38:20,3,Rescue or Emergency Medical Services Incident,1
04/28/2012,1:39:56,3,Rescue or Emergency Medical Services Incident,1
05/02/2012,8:24:29,5,Service Call,1
05/06/2012,0:19:16,3,Rescue or Emergency Medical Services Incident,1
05/07/2012,21:15:43,5,Service Call,1
05/10/2012,10:55:37,6,Good Intent Call,1
05/10/2012,13:22:55,3,Rescue or Emergency Medical Services Incident,1
05/11/2012,13:44:12,3,Rescue or Emergency Medical Services Incident,1
05/13/2012,1:53:20,3,Rescue or Emergency Medical Services Incident,1
05/14/2012,19:49:05,7,False Alarm or False Call,1
05/14/2012,6:29:21,6,Good Intent Call,1
05/14/2012,6:30:10,7,False Alarm or False Call,1
05/19/2012,11:01:14,4,Hazardous Condition (no fire),1
05/22/2012,12:27:21,7,False Alarm or False Call,1
05/21/2012,6:35:55,3,Rescue or Emergency Medical Services Incident,1
05/24/2012,13:22:13,4,Hazardous Condition (no fire),1
05/24/2012,21:21:12,5,Service Call,1
05/29/2012,2:24:00,7,False Alarm or False Call,1
05/29/2012,9:00:15,3,Rescue or Emergency Medical Services Incident,1
05/31/2012,7:29:00,1,Fire,1
05/31/2012,10:54:00,3,Rescue or Emergency Medical Services Incident,1
05/31/2012,10:55:00,3,Rescue or Emergency Medical Services Incident,1
06/01/2012,6:55:00,3,Rescue or Emergency Medical Services Incident,1
06/08/2012,11:09:34,7,False Alarm or False Call,1
06/08/2012,11:09:38,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,0:36:33,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,0:50:06,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,1:30:05,6,Good Intent Call,1
03/17/2012,1:49:43,7,False Alarm or False Call,1
03/17/2012,2:42:29,7,False Alarm or False Call,1
03/17/2012,6:54:52,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,8:04:23,1,Fire,1
03/17/2012,9:56:21,7,False Alarm or False Call,1
03/17/2012,10:19:55,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,11:45:50,1,Fire,1
03/17/2012,13:24:44,1,Fire,1
03/17/2012,15:01:45,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,15:25:12,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,18:26:10,3,Rescue or Emergency Medical Services Incident,1
03/17/2012,21:11:35,3,Rescue or Emergency Medical Services Incident,1
03/18/2012,0:32:18,3,Rescue or Emergency Medical Services Incident,1
03/18/2012,5:36:41,7,False Alarm or False Call,1
03/18/2012,10:10:50,3,Rescue or Emergency Medical Services Incident,1
03/18/2012,11:57:29,3,Rescue or Emergency Medical Services Incident,1
03/18/2012,12:08:47,5,Service Call,1
03/18/2012,12:13:33,3,Rescue or Emergency Medical Services Incident,1
03/18/2012,13:54:44,6,Good Intent Call,1
03/18/2012,20:26:08,6,Good Intent Call,1
03/19/2012,0:17:46,3,Rescue or Emergency Medical Services Incident,1
03/19/2012,5:20:43,3,Rescue or Emergency Medical Services Incident,1
03/19/2012,11:38:43,3,Rescue or Emergency Medical Services Incident,1
03/19/2012,13:05:54,3,Rescue or Emergency Medical Services Incident,1
03/19/2012,13:51:39,5,Service Call,1
03/19/2012,16:22:12,3,Rescue or Emergency Medical Services Incident,1
03/19/2012,17:18:21,7,False Alarm or False Call,1
03/19/2012,19:10:17,7,False Alarm or False Call,1
03/19/2012,21:46:31,3,Rescue or Emergency Medical Services Incident,1
03/20/2012,1:44:08,7,False Alarm or False Call,1
03/20/2012,4:09:27,3,Rescue or Emergency Medical Services Incident,1
03/20/2012,5:52:09,5,Service Call,1
03/20/2012,6:24:45,3,Rescue or Emergency Medical Services Incident,1
03/20/2012,8:33:14,7,False Alarm or False Call,1
03/20/2012,10:39:45,4,Hazardous Condition (no fire),1
03/20/2012,11:40:56,3,Rescue or Emergency Medical Services Incident,1
03/20/2012,15:19:40,4,Hazardous Condition (no fire),1
03/20/2012,15:24:28,1,Fire,1
03/20/2012,16:26:17,5,Service Call,1
03/20/2012,19:20:45,7,False Alarm or False Call,1
03/20/2012,20:10:49,5,Service Call,1
03/20/2012,20:20:18,5,Service Call,1
03/20/2012,20:28:20,5,Service Call,1
03/20/2012,22:39:08,3,Rescue or Emergency Medical Services Incident,1
03/20/2012,23:01:12,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,0:13:35,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,6:27:26,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,7:17:23,7,False Alarm or False Call,1
03/21/2012,11:07:33,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,11:26:43,5,Service Call,1
03/21/2012,12:02:40,7,False Alarm or False Call,1
03/21/2012,12:56:03,1,Fire,1
03/21/2012,13:27:58,1,Fire,1
03/21/2012,14:18:21,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,15:04:53,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,15:18:54,4,Hazardous Condition (no fire),1
03/21/2012,15:15:34,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,16:28:45,7,False Alarm or False Call,1
03/21/2012,17:12:39,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,17:31:16,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,19:11:35,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,21:31:15,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,23:05:38,3,Rescue or Emergency Medical Services Incident,1
03/21/2012,23:22:51,3,Rescue or Emergency Medical Services Incident,1
03/22/2012,1:25:12,7,False Alarm or False Call,1
03/22/2012,1:42:38,1,Fire,1
03/22/2012,4:39:27,7,False Alarm or False Call,1
03/22/2012,4:41:27,3,Rescue or Emergency Medical Services Incident,1
03/22/2012,5:46:28,7,False Alarm or False Call,1
03/22/2012,8:00:27,1,Fire,1
03/22/2012,8:15:43,6,Good Intent Call,1
05/09/2012,12:44:59,1,Fire,1
03/22/2012,8:29:51,7,False Alarm or False Call,1
03/22/2012,10:55:25,3,Rescue or Emergency Medical Services Incident,1
03/22/2012,15:16:14,3,Rescue or Emergency Medical Services Incident,1
03/22/2012,15:17:00,6,Good Intent Call,1
03/22/2012,21:24:27,4,Hazardous Condition (no fire),1
03/22/2012,22:46:04,7,False Alarm or False Call,1
03/22/2012,23:19:47,5,Service Call,1
03/23/2012,5:41:58,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,9:53:48,7,False Alarm or False Call,1
03/23/2012,10:11:45,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,10:50:26,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,11:28:38,5,Service Call,1
03/23/2012,13:42:50,5,Service Call,1
03/23/2012,14:14:31,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,14:53:57,7,False Alarm or False Call,1
03/23/2012,16:59:42,6,Good Intent Call,1
03/23/2012,17:12:17,7,False Alarm or False Call,1
03/23/2012,19:21:25,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,22:10:12,3,Rescue or Emergency Medical Services Incident,1
03/23/2012,22:25:31,5,Service Call,1
03/23/2012,23:32:18,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,1:04:22,5,Service Call,1
03/24/2012,3:12:59,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,5:41:29,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,9:26:20,7,False Alarm or False Call,1
03/24/2012,12:27:31,1,Fire,1
03/24/2012,14:00:34,1,Fire,1
03/24/2012,15:29:49,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,16:50:41,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,17:44:41,6,Good Intent Call,1
03/24/2012,19:06:34,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,19:11:28,3,Rescue or Emergency Medical Services Incident,1
03/24/2012,21:30:57,3,Rescue or Emergency Medical Services Incident,1
03/25/2012,0:39:35,1,Fire,1
03/25/2012,1:23:25,7,False Alarm or False Call,1
03/25/2012,9:02:23,3,Rescue or Emergency Medical Services Incident,1
03/25/2012,11:36:32,7,False Alarm or False Call,1
03/25/2012,12:04:19,3,Rescue or Emergency Medical Services Incident,1
03/25/2012,18:26:45,4,Hazardous Condition (no fire),1
03/25/2012,18:35:12,3,Rescue or Emergency Medical Services Incident,1
03/25/2012,20:15:10,7,False Alarm or False Call,1
03/25/2012,21:46:22,3,Rescue or Emergency Medical Services Incident,1
03/25/2012,22:35:51,6,Good Intent Call,1
03/26/2012,0:24:57,7,False Alarm or False Call,1
03/26/2012,7:59:33,3,Rescue or Emergency Medical Services Incident,1
03/26/2012,10:39:50,5,Service Call,1
03/26/2012,10:52:01,1,Fire,1
03/26/2012,10:58:26,3,Rescue or Emergency Medical Services Incident,1
03/26/2012,11:36:03,7,False Alarm or False Call,1
03/26/2012,11:50:31,3,Rescue or Emergency Medical Services Incident,1
03/26/2012,13:32:04,4,Hazardous Condition (no fire),1
03/26/2012,13:53:34,7,False Alarm or False Call,1
03/26/2012,14:14:27,7,False Alarm or False Call,1
03/26/2012,14:39:53,3,Rescue or Emergency Medical Services Incident,1
03/26/2012,23:50:28,3,Rescue or Emergency Medical Services Incident,1
03/26/2012,23:58:40,5,Service Call,1
03/27/2012,1:22:24,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,8:08:32,7,False Alarm or False Call,1
03/27/2012,10:35:42,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,13:07:28,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,13:35:30,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,13:42:14,5,Service Call,1
03/27/2012,16:09:00,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,17:42:52,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,18:02:22,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,18:03:27,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,21:21:01,3,Rescue or Emergency Medical Services Incident,1
03/27/2012,23:39:05,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,1:59:43,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,3:42:26,1,Fire,1
03/28/2012,8:19:49,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,9:11:30,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,9:27:15,7,False Alarm or False Call,1
03/28/2012,11:42:40,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,12:32:36,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,15:17:59,7,False Alarm or False Call,1
03/28/2012,15:31:41,7,False Alarm or False Call,1
03/28/2012,19:02:05,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,19:25:59,1,Fire,1
03/28/2012,19:57:19,3,Rescue or Emergency Medical Services Incident,1
03/28/2012,20:37:04,4,Hazardous Condition (no fire),1
03/28/2012,20:44:08,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,0:18:17,7,False Alarm or False Call,1
03/29/2012,0:29:00,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,1:29:24,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,2:43:03,5,Service Call,1
03/29/2012,3:06:24,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,4:06:54,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,4:57:07,4,Hazardous Condition (no fire),1
03/29/2012,6:34:38,3,Rescue or Emergency Medical Services Incident,1
03/29/2012,11:58:10,7,False Alarm or False Call,1
03/29/2012,12:07:42,7,False Alarm or False Call,1
03/29/2012,16:16:57,1,Fire,1
03/29/2012,18:26:34,7,False Alarm or False Call,1
03/29/2012,20:04:50,6,Good Intent Call,1
03/29/2012,22:07:03,7,False Alarm or False Call,1
03/29/2012,23:05:50,5,Service Call,1
03/29/2012,23:42:17,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,7:59:03,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,8:43:14,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,8:54:11,7,False Alarm or False Call,1
03/30/2012,9:13:51,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,9:52:40,7,False Alarm or False Call,1
03/30/2012,10:54:59,7,False Alarm or False Call,1
03/30/2012,11:25:41,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,18:31:40,3,Rescue or Emergency Medical Services Incident,1
03/30/2012,18:46:18,7,False Alarm or False Call,1
03/30/2012,20:13:45,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,1:02:27,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,3:55:51,6,Good Intent Call,1
03/31/2012,6:40:48,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,7:26:36,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,9:23:36,5,Service Call,1
03/31/2012,12:43:54,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,14:52:07,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,16:11:16,7,False Alarm or False Call,1
03/31/2012,17:11:45,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,17:12:40,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,18:01:04,6,Good Intent Call,1
03/31/2012,18:14:33,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,18:48:50,1,Fire,1
03/31/2012,19:13:23,5,Service Call,1
03/31/2012,19:58:24,5,Service Call,1
03/31/2012,20:41:01,5,Service Call,1
03/31/2012,21:20:09,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,22:04:41,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,22:18:00,3,Rescue or Emergency Medical Services Incident,1
03/31/2012,23:20:21,5,Service Call,1
04/01/2012,1:44:55,3,Rescue or Emergency Medical Services Incident,1
04/01/2012,2:04:02,6,Good Intent Call,1
04/01/2012,2:14:34,6,Good Intent Call,1
04/01/2012,2:19:39,3,Rescue or Emergency Medical Services Incident,1
04/01/2012,3:00:10,3,Rescue or Emergency Medical Services Incident,1
04/01/2012,5:43:50,1,Fire,1
04/01/2012,10:04:35,3,Rescue or Emergency Medical Services Incident,1
04/01/2012,13:07:16,6,Good Intent Call,1
04/01/2012,17:13:41,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,1:11:33,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,2:45:30,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,8:49:30,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,10:13:19,7,False Alarm or False Call,1
04/02/2012,12:54:21,7,False Alarm or False Call,1
04/02/2012,16:09:26,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,16:58:02,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,18:19:16,4,Hazardous Condition (no fire),1
04/02/2012,18:32:13,7,False Alarm or False Call,1
04/02/2012,20:03:45,4,Hazardous Condition (no fire),1
04/02/2012,20:12:43,1,Fire,1
04/02/2012,22:32:05,3,Rescue or Emergency Medical Services Incident,1
04/02/2012,22:42:00,6,Good Intent Call,1
04/02/2012,23:12:04,5,Service Call,1
04/02/2012,23:45:38,3,Rescue or Emergency Medical Services Incident,1
04/03/2012,12:51:33,6,Good Intent Call,1
04/03/2012,12:58:42,7,False Alarm or False Call,1
04/03/2012,15:14:38,3,Rescue or Emergency Medical Services Incident,1
04/03/2012,16:19:09,6,Good Intent Call,1
04/03/2012,16:38:39,3,Rescue or Emergency Medical Services Incident,1
04/03/2012,16:44:30,6,Good Intent Call,1
04/03/2012,17:16:27,3,Rescue or Emergency Medical Services Incident,1
04/03/2012,23:39:06,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,0:00:29,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,1:12:53,7,False Alarm or False Call,1
04/04/2012,6:33:35,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,10:03:15,6,Good Intent Call,1
04/04/2012,10:58:53,7,False Alarm or False Call,1
04/04/2012,13:06:53,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,13:19:09,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,17:23:34,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,18:08:48,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,23:07:09,3,Rescue or Emergency Medical Services Incident,1
04/04/2012,23:49:21,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,2:02:49,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,7:31:19,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,8:36:54,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,8:56:37,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,9:19:28,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,10:06:32,6,Good Intent Call,1
04/05/2012,13:04:48,6,Good Intent Call,1
04/05/2012,13:49:12,7,False Alarm or False Call,1
04/05/2012,16:55:21,6,Good Intent Call,1
04/05/2012,19:08:53,3,Rescue or Emergency Medical Services Incident,1
04/05/2012,19:26:39,5,Service Call,1
04/05/2012,19:41:14,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,1:56:26,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,2:25:06,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,3:03:10,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,5:25:56,7,False Alarm or False Call,1
04/06/2012,6:08:32,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,7:53:19,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,10:18:46,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,11:22:40,5,Service Call,1
04/06/2012,12:59:52,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,13:58:04,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,14:04:46,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,14:51:46,6,Good Intent Call,1
04/06/2012,15:46:09,5,Service Call,1
04/06/2012,16:56:42,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,17:53:19,1,Fire,1
04/06/2012,18:45:09,3,Rescue or Emergency Medical Services Incident,1
04/06/2012,21:08:21,6,Good Intent Call,1
04/07/2012,0:17:36,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,7:24:39,7,False Alarm or False Call,1
04/07/2012,11:27:28,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,11:39:41,5,Service Call,1
04/07/2012,13:29:34,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,15:20:05,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,15:20:58,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,17:54:41,3,Rescue or Emergency Medical Services Incident,1
04/07/2012,19:45:41,1,Fire,1
04/08/2012,2:24:48,7,False Alarm or False Call,1
04/08/2012,2:33:31,3,Rescue or Emergency Medical Services Incident,1
04/08/2012,16:35:29,1,Fire,1
04/08/2012,18:07:36,3,Rescue or Emergency Medical Services Incident,1
04/08/2012,19:05:43,3,Rescue or Emergency Medical Services Incident,1
04/08/2012,21:07:46,7,False Alarm or False Call,1
04/08/2012,21:22:55,6,Good Intent Call,1
04/09/2012,3:13:37,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,4:01:52,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,9:24:16,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,11:19:09,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,13:18:39,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,13:24:43,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,14:24:28,1,Fire,1
04/09/2012,15:58:30,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,16:04:22,1,Fire,1
04/09/2012,16:49:12,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,17:22:42,3,Rescue or Emergency Medical Services Incident,1
04/09/2012,17:28:05,4,Hazardous Condition (no fire),1
04/09/2012,18:42:21,7,False Alarm or False Call,1
04/09/2012,19:08:53,7,False Alarm or False Call,1
04/09/2012,19:24:05,7,False Alarm or False Call,1
04/10/2012,8:10:09,5,Service Call,1
04/10/2012,8:14:43,2,"Overpressure Rupture, Explosion, Overheat (no fire)",1
04/10/2012,9:03:13,3,Rescue or Emergency Medical Services Incident,1
04/10/2012,10:24:15,3,Rescue or Emergency Medical Services Incident,1
04/10/2012,10:59:50,3,Rescue or Emergency Medical Services Incident,1
04/10/2012,14:08:03,1,Fire,1
04/10/2012,16:09:17,3,Rescue or Emergency Medical Services Incident,1
04/10/2012,17:54:30,7,False Alarm or False Call,1
04/10/2012,20:23:19,4,Hazardous Condition (no fire),1
04/10/2012,20:28:17,6,Good Intent Call,1
04/11/2012,0:55:46,5,Service Call,1
04/11/2012,1:17:27,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,8:34:07,5,Service Call,1
04/11/2012,9:12:46,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,10:12:21,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,11:31:39,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,13:11:22,7,False Alarm or False Call,1
04/11/2012,14:07:31,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,14:39:19,6,Good Intent Call,1
04/11/2012,16:28:27,7,False Alarm or False Call,1
04/11/2012,19:37:57,3,Rescue or Emergency Medical Services Incident,1
04/11/2012,23:50:26,3,Rescue or Emergency Medical Services Incident,1
04/12/2012,12:20:59,3,Rescue or Emergency Medical Services Incident,1
04/12/2012,13:56:07,7,False Alarm or False Call,1
04/12/2012,15:11:41,3,Rescue or Emergency Medical Services Incident,1
04/12/2012,15:26:19,3,Rescue or Emergency Medical Services Incident,1
04/12/2012,16:15:26,7,False Alarm or False Call,1
04/12/2012,16:21:47,5,Service Call,1
04/12/2012,16:34:04,3,Rescue or Emergency Medical Services Incident,1
04/12/2012,16:27:33,5,Service Call,1
04/13/2012,1:11:59,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,1:27:49,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,6:55:55,5,Service Call,1
04/13/2012,9:02:24,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,11:07:48,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,13:34:04,7,False Alarm or False Call,1
04/13/2012,14:25:06,7,False Alarm or False Call,1
04/13/2012,14:47:57,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,17:20:08,1,Fire,1
04/13/2012,17:52:36,1,Fire,1
04/13/2012,18:40:52,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,21:31:30,3,Rescue or Emergency Medical Services Incident,1
04/13/2012,22:36:34,7,False Alarm or False Call,1
04/14/2012,0:37:53,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,2:17:13,7,False Alarm or False Call,1
04/14/2012,2:36:33,5,Service Call,1
04/14/2012,2:50:16,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,3:26:07,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,3:35:02,7,False Alarm or False Call,1
04/14/2012,9:41:40,6,Good Intent Call,1
04/14/2012,12:00:35,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,13:19:13,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,17:46:29,7,False Alarm or False Call,1
04/14/2012,17:58:33,7,False Alarm or False Call,1
04/14/2012,19:29:31,6,Good Intent Call,1
04/14/2012,20:19:17,3,Rescue or Emergency Medical Services Incident,1
04/14/2012,21:18:11,7,False Alarm or False Call,1
04/15/2012,1:40:15,3,Rescue or Emergency Medical Services Incident,1
04/15/2012,2:34:19,1,Fire,1
04/15/2012,5:02:29,7,False Alarm or False Call,1
04/15/2012,9:46:02,1,Fire,1
04/15/2012,12:11:57,5,Service Call,1
04/15/2012,13:09:33,3,Rescue or Emergency Medical Services Incident,1
04/15/2012,16:41:14,6,Good Intent Call,1
04/15/2012,17:28:44,4,Hazardous Condition (no fire),1
04/15/2012,18:13:44,5,Service Call,1
04/15/2012,18:41:54,5,Service Call,1
04/15/2012,19:04:19,3,Rescue or Emergency Medical Services Incident,1
04/15/2012,19:45:26,3,Rescue or Emergency Medical Services Incident,1
04/15/2012,20:16:14,5,Service Call,1
04/15/2012,20:20:33,1,Fire,1
04/15/2012,21:38:42,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,0:58:28,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,2:55:44,4,Hazardous Condition (no fire),1
04/16/2012,7:20:41,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,8:15:19,7,False Alarm or False Call,1
04/16/2012,8:54:53,6,Good Intent Call,1
04/16/2012,9:30:01,7,False Alarm or False Call,1
04/16/2012,9:58:29,7,False Alarm or False Call,1
04/16/2012,10:38:13,5,Service Call,1
04/16/2012,12:04:19,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,12:11:08,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,14:30:32,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,16:54:46,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,20:46:17,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,21:48:18,3,Rescue or Emergency Medical Services Incident,1
04/16/2012,22:01:30,7,False Alarm or False Call,1
04/16/2012,23:24:29,5,Service Call,1
04/17/2012,2:09:11,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,7:28:24,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,7:40:27,1,Fire,1
04/17/2012,9:02:05,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,9:06:20,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,11:33:22,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,11:58:13,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,13:02:06,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,15:16:17,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,17:15:02,3,Rescue or Emergency Medical Services Incident,1
04/17/2012,19:09:57,7,False Alarm or False Call,1
04/18/2012,0:34:54,1,Fire,1
04/18/2012,1:21:57,7,False Alarm or False Call,1
04/18/2012,4:18:11,6,Good Intent Call,1
04/18/2012,11:51:32,3,Rescue or Emergency Medical Services Incident,1
04/18/2012,12:32:22,3,Rescue or Emergency Medical Services Incident,1
04/18/2012,13:21:59,3,Rescue or Emergency Medical Services Incident,1
04/18/2012,13:33:45,3,Rescue or Emergency Medical Services Incident,1
04/18/2012,14:48:09,6,Good Intent Call,1
04/18/2012,15:15:28,3,Rescue or Emergency Medical Services Incident,1
04/19/2012,1:27:39,3,Rescue or Emergency Medical Services Incident,1
04/19/2012,2:24:03,3,Rescue or Emergency Medical Services Incident,1
